awg,dia_in,dia_mm,cross_mm2,ohm_1000_ft,ohm_1000_m,max_amps_chassis,max_amps_transmission,max_freq_skin_depth_hz,break_force_psi
Metric 2.0,0.00787,0.200,0.0314,169.39,555.61,0.51,0.088,440000,
Metric 1.8,0.00709,0.180,0.0254,207.5,680.55,0.43,0.072,540000,
Metric 1.6,0.0063,0.16002,0.0201,260.9,855.752,0.33,0.056,690000,
Metric 1.4,.00551,.140,0.0154,339,1114,0.26,0.043,900000,
Metric 1.25,.00492,0.125,0.0123,428.2,1404,0.20,0.034,1150000,
Metric 1.12,.00441,0.112,0.00985,533.8,1750,0.163,0.0277,1400000,
Metric 1,.00394,0.1000,0.00785,670.2,2198,0.126,0.0225,1750000,
